Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
TestB,Success,3,0,2016-09-28 19:02:19 -0600,2017-03-09 10:51:58 -0600,0:00:00
TestA,Failure,26,13,2016-09-28 18:29:50 -0600,2017-03-09 10:51:58 -0600,0:00:04
index,Success,6,1,2016-09-28 18:12:25 -0600,2017-03-09 10:51:57 -0600,0:00:02
