Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Master,Success,2,0,2018-01-12 12:05:33 +0530,2018-01-12 12:06:52 +0530,0:00:25
MoveFile,Success,3,0,2018-01-12 11:50:09 +0530,2018-01-12 11:56:22 +0530,0:00:04
CreateFile,Success,5,0,2018-01-12 11:42:53 +0530,2018-01-12 15:08:08 +0530,0:00:07
DelFile,Success,3,2,2018-01-12 12:04:31 +0530,2018-01-12 12:05:04 +0530,0:00:00
ReadFile,Success,4,0,2018-01-12 11:57:17 +0530,2018-01-12 12:02:48 +0530,0:00:03
DelFile1,Success,1,0,2018-01-12 11:58:13 +0530,2018-01-12 11:58:13 +0530,0:00:20
ReadFile1,Success,2,1,2018-01-12 11:54:07 +0530,2018-01-12 11:54:27 +0530,0:00:14
