Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled,Success,2,0,2018-03-21 13:12:40 +0530,2018-03-21 13:12:45 +0530,0:00:00
Master,Success,36,8,2018-03-21 11:41:01 +0530,2018-03-21 13:16:26 +0530,0:00:05
