Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Advance,Success,3,0,2017-04-11 14:53:14 -0600,2018-03-14 16:13:12 +0530,0:00:00
Modules/SingleMod2,Success,8,0,2017-03-03 09:16:05 -0700,2017-03-21 22:40:35 -0700,0:00:00
Library,Success,5,1,2016-08-31 08:52:37 -0600,2016-09-27 12:24:50 -0600,0:00:01
SingleMod,Success,12,0,2017-03-03 09:06:48 -0700,2017-03-21 22:40:35 -0700,0:00:00
index,Success,33,12,2016-08-31 08:53:28 -0600,2017-03-21 22:40:35 -0700,0:00:00
