2018-02-18 23:29:51.433 -0600	START		Running index.script
2018-02-18 23:29:51.501 -0600	Log		9	4	on_foo	index.script
2018-02-18 23:29:51.502 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.581 -0600	Log		8	4	on_foo	index.script
2018-02-18 23:29:51.583 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.608 -0600	Log		7	4	on_foo	index.script
2018-02-18 23:29:51.609 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.614 -0600	Log		6	4	on_foo	index.script
2018-02-18 23:29:51.615 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.637 -0600	Log		5	4	on_foo	index.script
2018-02-18 23:29:51.638 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.643 -0600	Log		4	4	on_foo	index.script
2018-02-18 23:29:51.645 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.651 -0600	Log		3	4	on_foo	index.script
2018-02-18 23:29:51.652 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.687 -0600	Log		2	4	on_foo	index.script
2018-02-18 23:29:51.688 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.693 -0600	Log		1	4	on_foo	index.script
2018-02-18 23:29:51.694 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.698 -0600	Log		0	4	on_foo	index.script
2018-02-18 23:29:51.699 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.720 -0600	Log		-1	4	on_foo	index.script
2018-02-18 23:29:51.721 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.726 -0600	Log		-2	4	on_foo	index.script
2018-02-18 23:29:51.727 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.731 -0600	Log		-3	4	on_foo	index.script
2018-02-18 23:29:51.732 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.759 -0600	Log		-4	4	on_foo	index.script
2018-02-18 23:29:51.760 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.765 -0600	Log		-5	4	on_foo	index.script
2018-02-18 23:29:51.766 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.795 -0600	Log		-6	4	on_foo	index.script
2018-02-18 23:29:51.796 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.801 -0600	Log		-7	4	on_foo	index.script
2018-02-18 23:29:51.802 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.831 -0600	Log		-8	4	on_foo	index.script
2018-02-18 23:29:51.832 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.863 -0600	Log		-9	4	on_foo	index.script
2018-02-18 23:29:51.864 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.869 -0600	Log		-10	4	on_foo	index.script
2018-02-18 23:29:51.870 -0600	Log		call again	8	on_foo	index.script
2018-02-18 23:29:51.900 -0600	Log		-11	4	on_foo	index.script
2018-02-18 23:29:51.902 -0600	Log		call again	8	on_foo	index.script
