2020-04-07 12:14:07.156 -0600	runwithnewresults		Logout.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Logout/20200407_121407.155/LogFile.txt)	19	on_main01	Main01.script
2020-04-07 12:14:07.264 -0600	runwithnewresults		Login.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Login/20200407_121407.263/LogFile.txt)	13	on_main01	Main01.script
2020-04-07 12:14:08.296 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121408.295/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:08.463 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121408.462/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:08.631 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121408.630/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:08.806 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121408.804/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:08.972 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121408.971/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.127 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121409.126/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.311 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121409.310/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.497 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121409.495/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.704 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121409.703/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.879 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121409.877/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:09.994 -0600	runwithnewresults		Logout.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Logout/20200407_121409.992/LogFile.txt)	19	on_main01	Main01.script
2020-04-07 12:14:10.103 -0600	runwithnewresults		Login.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Login/20200407_121410.101/LogFile.txt)	13	on_main01	Main01.script
2020-04-07 12:14:11.134 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121411.133/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:11.308 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121411.307/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:11.521 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121411.520/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:11.691 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121411.690/LogFile.txt)	17	on_main01	Main01.script
