Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
List,Failure,4,2,2017-06-27 08:46:32 -0600,2019-04-01 14:07:44 -0600,0:00:00
PropertyList,Success,2,0,2017-06-27 08:46:34 -0600,2017-07-18 22:35:42 -0400,0:00:00
NestedList,Success,5,0,2017-07-18 22:36:56 -0400,2017-07-18 22:37:34 -0400,0:00:00
