Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Sample,Success,3,0,2017-05-23 09:00:30 -0600,2017-05-23 09:01:06 -0600,0:00:00
index,Success,9,0,2017-05-23 08:55:38 -0600,2017-05-23 09:01:18 -0600,0:00:00
