Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
index,Failure,19,2,2017-06-29 08:53:03 -0600,2017-06-29 10:25:19 -0600,0:00:11
CheckWebPortal,Success,6,0,2017-06-29 10:26:09 -0600,2017-06-30 10:49:43 -0600,0:00:09
CheckServices,Success,12,1,2017-06-29 10:25:35 -0600,2017-06-30 10:48:58 -0600,0:00:22
