Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Libraries/SUTConnect,Success,4,1,2017-06-13 13:01:21 -0600,2017-06-13 13:01:55 -0600,0:00:00
States/Zero,Success,1,0,2017-04-17 12:59:55 -0600,2017-04-17 12:59:55 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample4,Success,1,0,2017-05-04 15:00:40 -0500,2017-05-04 15:00:40 -0500,0:00:00
Libraries/Login,Success,1,0,2017-04-17 12:59:56 -0600,2017-04-17 12:59:56 -0600,0:00:00
