Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
index,Success,10,0,2017-03-15 13:41:26 -0600,2019-06-04 15:23:05 -0600,0:00:44
mod,Success,1,0,2017-03-15 13:41:23 -0600,2017-03-15 13:41:23 -0600,0:00:00
