Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Write2,Success,6,1,2016-12-20 16:56:07 -0700,2017-03-30 09:50:28 -0600,0:00:00
Write1,Success,20,11,2016-11-07 13:13:40 -0700,2017-03-30 09:54:18 -0600,0:00:00
Index,Success,30,2,2016-09-27 10:44:09 -0600,2017-06-16 08:56:01 -0600,0:00:00
Loop2,Success,1,0,2016-11-01 21:55:19 -0400,2016-11-01 21:55:19 -0400,0:00:00
List,Success,5,0,2017-03-09 14:03:51 -0600,2017-08-26 16:27:44 -0600,0:00:00
Loop1,Success,6,0,2016-11-01 21:53:17 -0400,2017-03-02 09:39:30 -0700,0:00:00
