Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Index,Success,1,0,2016-09-29 14:53:55 -0600,2016-09-29 14:53:55 -0600,0:00:04
IndexShell,Success,5,1,2016-09-29 14:49:41 -0600,2016-09-29 14:53:54 -0600,0:00:08
